Transaction Date,Buyer First Name,Buyer Last Name,Gender,Buyer Location,Buyer Date of Birth,Payment Method,Quantity Purchased,Product Code,Sales Representative
2/20/2024,Allen,Santos,Male,San Jose,10/23/1954,Credit Card,129,Pro04,Travis Doyle
3/15/2024,Brenda,Shaw,Female,San Jose,5/5/1980,Cash,370,Pro09,Joseph Hill
1/13/2024,R.,Hernandez,Other,San Antonio,5/10/1966,Credit Card,284,Pro02,April Watkins
5/9/2024,Alexander,Smith,Male,San Jose,9/16/1945,Debit Card,90,Pro05,Elizabeth Guerrero
5/20/2024,Mary,Rodriguez,Female,Philadelphia,11/19/1953,Cash,475,Pro04,Tracy Lee
3/17/2024,Clinton,Haynes,Male,San Antonio,3/3/2001,Cash,346,Pro01,Sara R.son
2/17/2024,Jamie,Steele,Other,San Diego,5/3/1960,Credit Card,366,Pro06,Katie Stanton
5/29/2024,David,Hunt,Male,Chicago,7/9/1947,Cash,122,Pro01,Susan Dean
4/28/2024,R.,Hernandez,Male,San Antonio,8/28/1997,Debit Card,299,Pro02,Travis Doyle
2/7/2024,Alexander,Smith,Other,San Jose,9/25/1977,Credit Card,327,Pro09,Joseph Hill
6/30/2024,Mary,Rodriguez,Female,Philadelphia,1/29/1975,Cash,383,Pro04,April Watkins
2/15/2024,Samantha,Wong,Male,New York,11/21/1947,Cash,468,Pro10,April Watkins
1/30/2024,Gregory,Gibson,Other,San Jose,5/19/1966,Cash,220,Pro02,Elizabeth Guerrero
3/26/2024,R.,Hernandez,Other,San Antonio,2/3/1981,Debit Card,272,Pro07,Tracy Lee
7/27/2024,Alexander,Smith,Male,San Jose,4/10/1958,Credit Card,270,Pro10,Sara R.son
6/22/2024,Mary,Rodriguez,Other,Philadelphia,12/7/1966,Credit Card,201,Pro06,Katie Stanton
3/5/2024,Sarah,Case,Male,New York,6/19/1965,Cash,264,Pro05,Susan Dean
7/21/2024,Taylor,Wilson,Male,Philadelphia,5/16/1964,Credit Card,129,Pro05,Katie Stanton
